[Aim] acquire | track locked
[Visual] aim step 76/200 | phase=center | uv=(-0.013,-0.227) | target=(+0.400,+0.000) | delta=(-0.013,-0.227) | scale=0.038 | droll=-0.10 | ds1=-1.91 | ds2=+0.95 | req_roll=-0.11 | req_seg=+1.91 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=106x107
[Aim] center_stuck | reset uv jacobian (2/2) | delta=(-0.013,-0.227)
[Visual] aim step 78/200 | phase=center | uv=(-0.013,-0.227) | target=(+0.400,+0.000) | delta=(-0.013,-0.227) | scale=0.038 | droll=-0.10 | ds1=-1.91 | ds2=+0.95 | req_roll=-0.11 | req_seg=+1.91 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=106x107
[Visual] aim step 79/200 | phase=center | uv=(-0.013,-0.227) | target=(+0.400,+0.000) | delta=(-0.013,-0.227) | scale=0.038 | droll=-0.10 | ds1=-1.91 | ds2=+0.95 | req_roll=-0.11 | req_seg=+1.91 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=106x107
[Visual] aim step 80/200 | phase=center | uv=(-0.013,-0.227) | target=(+0.400,+0.000) | delta=(-0.013,-0.227) | scale=0.038 | droll=-0.10 | ds1=-1.91 | ds2=+0.95 | req_roll=-0.11 | req_seg=+1.91 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=106x107
[Visual] aim step 81/200 | phase=center | uv=(-0.013,-0.227) | target=(+0.400,+0.000) | delta=(-0.013,-0.227) | scale=0.038 | droll=-0.10 | ds1=-1.91 | ds2=+0.95 | req_roll=-0.11 | req_seg=+1.91 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=106x107
[Visual] aim step 82/200 | phase=center | uv=(-0.013,-0.227) | target=(+0.400,+0.000) | delta=(-0.013,-0.227) | scale=0.038 | droll=-0.10 | ds1=-1.91 | ds2=+0.95 | req_roll=-0.11 | req_seg=+1.91 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=106x107
[Visual] aim step 83/200 | phase=center | uv=(-0.014,-0.227) | target=(+0.400,+0.000) | delta=(-0.014,-0.227) | scale=0.037 | droll=-0.12 | ds1=-1.91 | ds2=+0.95 | req_roll=-0.12 | req_seg=+1.91 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=105x105
[Visual] aim step 84/200 | phase=center | uv=(-0.013,-0.225) | target=(+0.400,+0.000) | delta=(-0.013,-0.225) | scale=0.037 | droll=-0.10 | ds1=-1.89 | ds2=+0.95 | req_roll=-0.11 | req_seg=+1.89 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=106x106
[Visual] aim step 85/200 | phase=center | uv=(-0.013,-0.225) | target=(+0.400,+0.000) | delta=(-0.013,-0.225) | scale=0.037 | droll=-0.10 | ds1=-1.89 | ds2=+0.95 | req_roll=-0.11 | req_seg=+1.89 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=106x106
[Visual] aim step 86/200 | phase=center | uv=(-0.013,-0.225) | target=(+0.400,+0.000) | delta=(-0.013,-0.225) | scale=0.037 | droll=-0.10 | ds1=-1.89 | ds2=+0.95 | req_roll=-0.11 | req_seg=+1.89 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=106x106
[Visual] aim step 87/200 | phase=center | uv=(-0.013,-0.225) | target=(+0.400,+0.000) | delta=(-0.013,-0.225) | scale=0.037 | droll=-0.10 | ds1=-1.89 | ds2=+0.95 | req_roll=-0.11 | req_seg=+1.89 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=106x106
[Visual] aim step 88/200 | phase=center | uv=(-0.013,-0.225) | target=(+0.400,+0.000) | delta=(-0.013,-0.225) | scale=0.037 | droll=-0.10 | ds1=-1.89 | ds2=+0.95 | req_roll=-0.11 | req_seg=+1.89 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=106x106
[Visual] aim step 89/200 | phase=center | uv=(-0.013,-0.225) | target=(+0.400,+0.000) | delta=(-0.013,-0.225) | scale=0.037 | droll=-0.10 | ds1=-1.89 | ds2=+0.95 | req_roll=-0.11 | req_seg=+1.89 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=106x106
[Visual] aim step 90/200 | phase=center | uv=(-0.013,-0.225) | target=(+0.400,+0.000) | delta=(-0.013,-0.225) | scale=0.037 | droll=-0.10 | ds1=-1.89 | ds2=+0.95 | req_roll=-0.11 | req_seg=+1.89 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=106x106
[Visual] aim step 91/200 | phase=center | uv=(-0.013,-0.225) | target=(+0.400,+0.000) | delta=(-0.013,-0.225) | scale=0.037 | droll=-0.10 | ds1=-1.89 | ds2=+0.95 | req_roll=-0.11 | req_seg=+1.89 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=106x106
